Protein Id,Gene Symbol,Description,Group ID,Number of peptides,Collapsed,Parsimony,FC_0h,FC_4h,FC_6h,FC_12h,pvalue_ttest_12h_vs_0h
YNL163C,RIA1,Cytoplasmic GTPase involved in biogenesis of the 60S ribosome; has similarity to translation elongation factor 2 (Eft1p and Eft2p),1642,18,C,UR,1,3.084830866,3.03267908,3.345925718,2.7917E-06
YBL051C,PIN4,"Protein involved in G2/M phase progression and response to DNA damage, interacts with Rad53p; contains an RNA recognition motif, a nuclear localization signal, and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage",2551,9,C,UR,1,0.602737418,0.651465582,0.458637944,3.06307E-06
YPL231W,FAS2,"Alpha subunit of fatty acid synthetase, which catalyzes the synthesis of long-chain saturated fatty acids; contains the acyl-carrier protein domain and beta-ketoacyl reductase, beta-ketoacyl synthase and self-pantetheinylation activities",73,210,C,UR,1,3.174177946,3.400374687,3.377500544,3.18687E-06
YJL130C,URA2,"Bifunctional carbamoylphosphate synthetase (CPSase)-aspartate transcarbamylase (ATCase), catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP",78,133,C,UR,1,3.095252171,3.005033628,3.197434389,3.439E-06
YEL058W,PCM1,"Essential N-acetylglucosamine-phosphate mutase; converts GlcNAc-6-P to GlcNAc-1-P, which is a precursor for the biosynthesis of chitin and for the formation of N-glycosylated mannoproteins and glycosylphosphatidylinositol anchors",1228,10,C,UR,1,2.993395549,2.699106262,2.615836416,3.59942E-06
YLL041C,SDH2,"Iron-sulfur protein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain",1867,3,C,UR,1,0.139171259,0.116741559,0.0921525,3.98539E-06
YHR131C,YHR131C,Putative protein of unknown function; GFP-fusion protein localizes to the cytoplasm; overexpression causes cell cycle delay or arrest; contains a PH domain and binds phosphatidylinositols and other lipids in a large-scale study,3981,1,C,UR,1,0.531778433,0.493229343,0.308001183,4.07772E-06
YKL010C,UFD4,"Ubiquitin-protein ligase (E3) that interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; cytoplasmic E3 involved in the degradation of ubiquitin fusion proteins",467,6,C,UR,1,4.189466408,3.846750923,4.018741338,4.12069E-06
YKL157W,APE2,Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; sequence coordinates have changed since RT-PCR analysis showed that the adjacent ORF YKL158W comprises the 5' exon of APE2/YKL157W,254,52,C,UR,1,2.351993434,2.656043847,3.005662238,4.68613E-06
YER070W,RNR1,"Major isoform of the large subunit of ribonucleotide-diphosphate reductase; the RNR complex catalyzes rate-limiting step in dNTP synthesis, regulated by DNA replication and DNA damage checkpoint pathways via localization of small subunits",158,50,C,UR,1,5.372859781,5.370618399,5.699433558,4.6993E-06
YDL078C,MDH3,"Peroxisomal malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate; involved in the glyoxylate cycle",53,26,C,UR,1,0.612017068,0.688358418,0.735108697,5.6352E-06
YBR072W,HSP26,"Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; oligomer activation requires heat-induced conformational change; also has mRNA binding activity",339,50,C,UR,1,0.454934031,1.845090538,5.071743265,5.89554E-06
YBL045C,COR1,"Core subunit of the ubiquinol-cytochrome c reductase complex (bc1 complex), which is a component of the mitochondrial inner membrane electron transport chain",70,24,C,UR,1,0.252720453,0.249320253,0.246872109,5.91937E-06
YER069W,"ARG5,6","Protein that is processed in the mitochondrion to yield acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase, which catalyze the 2nd and 3rd steps in arginine biosynthesis; enzymes form a complex with Arg2p",1202,32,C,UR,1,0.501068738,0.537362641,0.584271006,5.98675E-06
YKL017C,HCS1,Hexameric DNA polymerase alpha-associated DNA helicase A involved in lagging strand DNA synthesis; contains single-stranded DNA stimulated ATPase and dATPase activities; replication protein A stimulates helicase and ATPase activities,2229,5,C,UR,1,1.525431619,1.572052166,1.64456093,6.45706E-06
YCL030C,HIS4,"Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase, phosphoribosyl-AMP cyclohydrolase, and histidinol dehydrogenase activities; catalyzes the second, third, ninth and tenth steps in histidine biosynthesis",946,39,C,UR,1,0.196176839,0.181970085,0.147189437,6.62085E-06
YER165W,PAB1,"Poly(A) binding protein, part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G",662,94,C,UR,1,0.706081944,0.681372512,0.559628854,6.72955E-06
YNL037C,IDH1,"Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase, which catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle",1399,37,C,UR,1,1.467717838,1.848530681,1.962771247,6.77711E-06
YKR037C,SPC34,"Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; also localized to nuclear side of spindle pole body",934,3,C,UR,1,0.527522233,0.528690228,0.367783479,6.99065E-06
YLR058C,SHM2,"Cytosolic serine hydroxymethyltransferase, converts serine to glycine plus 5,10 methylenetetrahydrofolate; major isoform involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis",852,75,C,UR,1,0.344457052,0.361697693,0.334074375,7.01246E-06
YBR120C,CBP6,Mitochondrial protein required for translation of the COB mRNA; forms a complex with Cbp3p that binds to mt ribosomes near the polypeptide tunnel exit and promotes efficient translation of the COB mRNA; Cbp3p-Cbp6p complex also interacts with newly synthesized cytochrome b (Cobp) and Cbp4p to promote assembly of Cobp into the cytochrome bc1 complex,949,5,C,UR,1,0.313392408,0.333518181,0.301278364,7.76301E-06
YJL167W,ERG20,"Farnesyl pyrophosphate synthetase, has both dimethylallyltranstransferase and geranyltranstransferase activities; catalyzes the formation of C15 farnesyl pyrophosphate units for isoprenoid and sterol biosynthesis",333,21,C,UR,1,1.64631729,1.666571434,1.761649078,7.8079E-06
YLR347C,KAP95,"Karyopherin beta, forms a complex with Srp1p/Kap60p; interacts with nucleoporins to mediate nuclear import of NLS-containing cargo proteins via the nuclear pore complex; regulates PC biosynthesis; GDP-to-GTP exchange factor for Gsp1p",190,18,C,UR,1,3.304158531,3.116045188,3.178365774,8.07797E-06
YFR030W,MET10,"Subunit alpha of assimilatory sulfite reductase, which converts sulfite into sulfide",940,2,C,UR,1,1.003398284,0.656689356,0.483591149,8.11095E-06
YIR033W,MGA2,"ER membrane protein involved in regulation of OLE1 transcription, acts with homolog Spt23p; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting",709,2,C,UR,1,5.111684542,3.858079111,3.46180287,8.11861E-06
YER105C,NUP157,"Abundant subunit of the nuclear pore complex (NPC), present on both sides of the NPC; has similarity to Nup170p; essential role, with Nup170p, in NPC assembly",1037,8,C,UR,1,2.902023226,2.445603441,2.314551398,8.20059E-06
YNL104C,LEU4,Alpha-isopropylmalate synthase (2-isopropylmalate synthase); the main isozyme responsible for the first step in the leucine biosynthesis pathway,965,28,C,UR,1,0.406093474,0.387174613,0.347701302,8.32136E-06
YBL074C,AAR2,"Component of the U5 snRNP, required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron",1769,3,C,UR,1,1.547732264,1.729716001,2.113197088,8.34408E-06
YMR083W,ADH3,Mitochondrial alcohol dehydrogenase isozyme III; involved in the shuttling of mitochondrial NADH to the cytosol under anaerobic conditions and ethanol production,530,37,C,UR,1,1.328400898,1.522352262,1.643447763,8.83203E-06
YKR084C,HBS1,"GTPase with similarity to translation release factors; together with binding partner Dom34p, facilitates ribosomal subunit dissociation and peptidyl-tRNA release when translation is stalled; genetically implicated in mRNA no-go decay",509,16,C,UR,1,1.800473664,1.96736858,1.903392713,8.86152E-06
YER040W,GLN3,"Transcriptional activator of genes regulated by nitrogen catabolite repression (NCR), localization and activity regulated by quality of nitrogen source",176,8,C,UR,1,0.511329797,0.488560234,0.454226044,9.85048E-06
YNL284C-B,YNL284C-B,"Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes",642,5,C,UR,1,5.07242142,6.949531193,8.424007369,1.02287E-05
YLR304C,ACO1,"Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy",420,44,C,UR,1,0.113496135,0.092264052,0.05781088,1.10968E-05
YFL039C,ACT1,"Actin, structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions",538,118,C,UR,1,1.827999951,1.916554764,2.140220377,1.18802E-05
YEL024W,RIP1,"Ubiquinol-cytochrome-c reductase, a Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex; transfers electrons from ubiquinol to cytochrome c1 during respiration",3108,8,C,UR,1,0.267549725,0.223033248,0.178466801,1.24608E-05
YIR001C,SGN1,"Cytoplasmic RNA-binding protein, contains an RNA recognition motif (RRM); may have a role in mRNA translation, as suggested by genetic interactions with genes encoding proteins involved in translational initiation",925,6,C,UR,1,0.540156178,0.422441215,0.322323232,1.28191E-05
YDR213W,UPC2,"Sterol regulatory element binding protein, induces transcription of sterol biosynthetic genes and of DAN/TIR gene products; Ecm22p homolog; relocates from intracellular membranes to perinuclear foci on sterol depletion",107,6,C,UR,1,7.328672919,6.48857255,4.743558261,1.30656E-05
YMR278W,PGM3,"Phosphoglucomutase, catalyzes interconversion of glucose-1-phosphate and glucose-6-phospate; transcription induced in response to stress; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; non-essential",1284,15,C,UR,1,1.589941739,1.820046124,2.265160439,1.32563E-05
YOL016C,CMK2,"Calmodulin-dependent protein kinase; may play a role in stress response, many CA++/calmodulan dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to Cmk1p and mammalian Cam Kinase II",1639,10,C,UR,1,1.597844572,1.951775253,2.252478796,1.32705E-05
YOL139C,CDC33,Cytoplasmic mRNA cap binding protein and translation initiation factor eIF4E; the eIF4E-cap complex is responsible for mediating cap-dependent mRNA translation via interactions with translation initiation factor eIF4G (Tif4631p or Tif4632p),2763,17,C,UR,1,0.660225816,0.62417477,0.477058777,1.34711E-05
YOR113W,AZF1,"Zinc-finger transcription factor, involved in induction of CLN3 transcription in response to glucose; genetic and physical interactions indicate a possible role in mitochondrial transcription or genome maintenance",1032,10,C,UR,1,0.403420117,0.43954945,0.389634464,1.34961E-05
YJL088W,ARG3,"Ornithine carbamoyltransferase (carbamoylphosphate:L-ornithine carbamoyltransferase), catalyzes the sixth step in the biosynthesis of the arginine precursor ornithine",3015,4,C,UR,1,0.422422638,0.427705326,0.469452199,1.37117E-05
YNL022C,YNL022C,"Putative cytosine 5-methyltransferase, contains seven beta-strand methyltransferase motif similar to NOP2/YNL061W; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; predicted to be involved in ribosome biogenesis",627,6,C,UR,1,2.566951482,2.515331398,2.773264326,1.37216E-05
YOR355W,GDS1,"Protein of unknown function, required for growth on glycerol as a carbon source; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",3044,1,C,UR,1,3.582613388,2.660425128,2.362374911,1.41229E-05
YKL182W,FAS1,"Beta subunit of fatty acid synthetase, which catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities",67,224,C,UR,1,3.977430652,4.052305239,4.149644015,1.42071E-05
YFL029C,CAK1,"Cyclin-dependent kinase-activating kinase required for passage through the cell cycle, phosphorylates and activates Cdc28p; nucleotide-binding pocket differs significantly from those of most other protein kinases",2235,2,C,UR,1,1.598701984,1.560728957,1.624240913,1.42702E-05
YER091C,MET6,"Cobalamin-independent methionine synthase, involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs",142,85,C,UR,1,0.335795696,0.327966882,0.286886352,1.46342E-05
YJR137C,MET5,"Sulfite reductase beta subunit, involved in amino acid biosynthesis, transcription repressed by methionine",1508,5,C,UR,1,0.533494712,0.460481669,0.343105231,1.47171E-05
YDR032C,PST2,"Protein with similarity to members of a family of flavodoxin-like proteins; induced by oxidative stress in a Yap1p dependent manner; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",83,17,C,UR,1,0.792036106,1.087900238,1.620614989,1.51698E-05
YDR529C,QCR7,"Subunit 7 of the ubiquinol cytochrome-c reductase complex, which is a component of the mitochondrial inner membrane electron transport chain; oriented facing the mitochondrial matrix; N-terminus appears to play a role in complex assembly",647,4,C,UR,1,0.202752557,0.206553403,0.198450561,1.52834E-05
YOR375C,GDH1,"NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh3p; expression regulated by nitrogen and carbon sources",135,45,C,UR,1,0.441241025,0.369264308,0.280443856,1.59019E-05
YDL171C,GLT1,"NAD(+)-dependent glutamate synthase (GOGAT), synthesizes glutamate from glutamine and alpha-ketoglutarate; with Gln1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source",2210,13,C,UR,1,0.422927775,0.283655028,0.143809807,1.59355E-05
YBR260C,RGD1,"GTPase-activating protein (RhoGAP) for Rho3p and Rho4p, possibly involved in control of actin cytoskeleton organization",2033,9,C,UR,1,2.239953469,2.27878147,2.42070564,1.60834E-05
YDR258C,HSP78,Oligomeric mitochondrial matrix chaperone that cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates,520,50,C,UR,1,0.702903011,1.057611394,1.612225421,1.62777E-05
YHR105W,YPT35,Endosomal protein of unknown function that contains a phox (PX) homology domain and binds to both phosphatidylinositol-3-phosphate (PtdIns(3)P) and proteins involved in ER-Golgi or vesicular transport,1915,2,C,UR,1,1.537016776,1.711552323,2.390882567,1.65718E-05
YGL234W,"ADE5,7","Bifunctional enzyme of the 'de novo' purine nucleotide biosynthetic pathway, contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities",151,64,C,UR,1,0.537834419,0.54990512,0.514717571,1.66594E-05
YGR117C,YGR117C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,2196,5,C,UR,1,1.918304082,2.041971786,2.235647607,1.73227E-05
YDR127W,ARO1,"Pentafunctional arom protein, catalyzes steps 2 through 6 in the biosynthesis of chorismate, which is a precursor to aromatic amino acids",122,65,C,UR,1,1.646229119,1.552734387,1.537964483,1.73969E-05
YER175C,TMT1,"Trans-aconitate methyltransferase, cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate, an intermediate of the leucine biosynthetic pathway, and trans-aconitate, which inhibits the citric acid cycle",2325,9,C,UR,1,0.390455605,0.445573262,0.553640318,1.75119E-05
YKL196C,YKT6,"Vesicle membrane protein (v-SNARE) with acyltransferase activity; involved in trafficking to and within the Golgi, endocytic trafficking to the vacuole, and vacuolar fusion; membrane localization due to prenylation at the carboxy-terminus",2026,10,C,UR,1,1.647327264,1.699637817,1.673637559,1.7554E-05
YKR066C,CCP1,"Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria, involved in the response to oxidative stress",1664,5,C,UR,1,0.247574802,0.20639671,0.147384368,1.77146E-05
YKL032C,IXR1,"Protein that binds DNA containing intrastrand cross-links formed by cisplatin, contains two HMG (high mobility group box) domains, which confer the ability to bend cisplatin-modified DNA; mediates aerobic transcriptional repression of COX5b",432,6,C,UR,1,0.687402541,0.649673709,0.551272106,1.7964E-05
YDR293C,SSD1,Translational repressor with a role in cell wall polar growth and integrity; regulated by Cbk1p phosphorylation to effect bud-specific translational control of specific mRNAs; interacts with TOR pathway components,365,41,C,UR,1,1.0281857,1.187116659,1.383876952,1.7983E-05
YGR132C,PHB1,"Subunit of the prohibitin complex (Phb1p-Phb2p), a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation",371,9,C,UR,1,0.492265152,0.467091456,0.399475569,1.79951E-05
YLR303W,MET17,"Methionine and cysteine synthase (O-acetyl homoserine-O-acetyl serine sulfhydrylase), required for sulfur amino acid synthesis",1416,32,C,UR,1,0.406607776,0.428010131,0.379230484,1.85788E-05
YBR030W,RKM3,Ribosomal lysine methyltransferase specific for monomethylation of Rpl42ap and Rpl42bp (lysine 40); nuclear SET domain containing protein,1341,5,C,UR,1,1.953652939,2.012175853,2.006006815,1.98411E-05
YPR191W,QCR2,"Subunit 2 of the ubiquinol cytochrome-c reductase complex, which is a component of the mitochondrial inner membrane electron transport chain; phosphorylated; transcription is regulated by Hap1p, Hap2p/Hap3p, and heme",1721,28,C,UR,1,0.215708301,0.223294107,0.2137565,1.9999E-05
YLR359W,ADE13,"Adenylosuccinate lyase, catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway; expression is repressed by adenine and activated by Bas1p and Pho2p; mutations in human ortholog ADSL cause adenylosuccinase deficiency",1122,28,C,UR,1,0.807510225,0.775165408,0.736919311,2.00727E-05
YMR258C,ROY1,GTPase inhibitor with similarity to F-box proteins; inhibits Ypt52p GTPase activity by preventing Ypt52p from binding GTP; involved in regulating intracellular trafficking; physically interacts with Skp1p,3039,6,C,UR,1,3.587367367,4.271884757,5.309009981,2.01253E-05
YML126C,ERG13,"3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase, catalyzes the formation of HMG-CoA from acetyl-CoA and acetoacetyl-CoA; involved in the second step in mevalonate biosynthesis",841,54,C,UR,1,1.881350187,2.010667717,1.970496669,2.04365E-05
YER048C,CAJ1,"Nuclear type II J heat shock protein of the E. coli dnaJ family, contains a leucine zipper-like motif, binds to non-native substrates for presentation to Ssa3p, may function during protein translocation, assembly and disassembly",989,15,C,UR,1,0.689671846,0.716187081,0.684773755,2.08631E-05
YAR015W,ADE1,"N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine",408,29,C,UR,1,0.299571287,0.335177642,0.338975149,2.11079E-05
YJL024C,APS3,"Small subunit of the clathrin-associated adaptor complex AP-3, which is involved in vacuolar protein sorting; related to the sigma subunit of the mammalian clathrin AP-3 complex; suppressor of loss of casein kinase 1 function",2954,5,C,UR,1,1.566221707,1.624352892,1.623012489,2.12697E-05
YOR157C,PUP1,Beta 2 subunit of the 20S proteasome; endopeptidase with trypsin-like activity that cleaves after basic residues; synthesized as a proprotein before being proteolytically processed for assembly into 20S particle; human homolog is subunit Z,1356,6,C,UR,1,1.975316677,1.942825171,1.925732231,2.13806E-05
YER049W,TPA1,"Poly(rA)-binding protein involved in translation termination efficiency, mRNA poly(A) tail length and mRNA stability; interacts with Sup45p (eRF1), Sup35p (eRF3) and Pab1p; similar to prolyl 4-hydroxylases; binds Fe(III) and 2-oxoglutarate",249,23,C,UR,1,1.342541345,1.253808844,1.227535427,2.17012E-05
YBL059C-A,CMC2,Protein of the mitochondrial intermembrane space with a role in respiratory chain complex assembly or maintenance; contains twin Cx9C motifs that can form coiled coil-helix-coiled-coil helix fold,2805,1,C,UR,1,0.449971838,0.419570893,0.386767344,2.17716E-05
YER003C,PMI40,"Mannose-6-phosphate isomerase, catalyzes the interconversion of fructose-6-P and mannose-6-P; required for early steps in protein mannosylation",2093,23,C,UR,1,0.384531449,0.351561663,0.289593636,2.27836E-05
YJL140W,RPB4,RNA polymerase II subunit B32; forms two subunit dissociable complex with Rpb7p; involved in recruitment of 3'-end processing factors to transcribing RNA polymerase II complex and in export of mRNA to cytoplasm under stress conditions; also involved in translation initiation,2470,10,C,UR,1,0.596704349,0.601503233,0.492834286,2.30014E-05
YML029W,USA1,"Scaffold subunit of the Hrd1p ubiquitin ligase that also promotes ligase oligomerization; involved in ER-associated protein degradation (ERAD); interacts with the U1 snRNP-specific protein, Snp1p",3120,2,C,UR,1,3.091485603,3.307890765,3.186803094,2.38475E-05
YNL292W,PUS4,"Pseudouridine synthase, catalyzes only the formation of pseudouridine-55 (Psi55), a highly conserved tRNA modification, in mitochondrial and cytoplasmic tRNAs; PUS4 overexpression leads to translational derepression of GCN4 (Gcd- phenotype)",2436,8,C,UR,1,0.852818802,0.792262322,0.630545677,2.41093E-05
YGL101W,YGL101W,Putative protein of unknown function; non-essential gene with similarity to YBR242W; interacts with the DNA helicase Hpr5p,2426,4,C,UR,1,0.488598259,0.402300596,0.252536532,2.44277E-05
YLR355C,ILV5,Bifunctional acetohydroxyacid reductoisomerase and mtDNA binding protein; involved in branched-chain amino acid biosynthesis and maintenance of wild-type mitochondrial DNA; found in mitochondrial nucleoids,92,125,C,UR,1,0.61935155,0.614666883,0.597748923,2.46305E-05
YIL149C,MLP2,"Myosin-like protein associated with the nuclear envelope, connects the nuclear pore complex with the nuclear interior; involved in the Tel1p pathway that controls telomere length",97,20,C,UR,1,0.856996003,0.850880106,0.711515825,2.47287E-05
YDL195W,SEC31,"Component of the Sec13p-Sec31p complex of the COPII vesicle coat, required for vesicle formation in ER to Golgi transport; mutant has increased aneuploidy tolerance",767,56,C,UR,1,0.739894756,0.75071136,0.690437705,2.48161E-05
YLR256W,HAP1,Zinc finger transcription factor involved in the complex regulation of gene expression in response to levels of heme and oxygen; the S288C sequence differs from other strain backgrounds due to a Ty1 insertion in the carboxy terminus,1060,8,C,UR,1,4.754394386,3.887405697,4.324970886,2.50458E-05
YGL155W,CDC43,"Beta subunit of geranylgeranyltransferase type I, catalyzes geranylgeranylation to the cysteine residue in proteins containing a C-terminal CaaX sequence ending in Leu or Phe; has substrates important for morphogenesis",4043,1,C,UR,1,1.951232133,1.772239617,1.729610246,2.50874E-05
YJR149W,YJR149W,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,3097,6,C,UR,1,1.173319487,1.457573184,2.129917022,2.52956E-05
YKL035W,UGP1,"UDP-glucose pyrophosphorylase (UGPase), catalyses the reversible formation of UDP-Glc from glucose 1-phosphate and UTP, involved in a wide variety of metabolic pathways, expression modulated by Pho85p through Pho4p",1843,50,C,UR,1,0.523616448,0.585971957,0.616890769,2.54541E-05
YJL200C,ACO2,"Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on glucose, by amino acid starvation via Gcn4p, and repressed on ethanol",420,6,C,UR,1,0.183890014,0.116683359,0.092576934,2.6511E-05
YDR251W,PAM1,"Essential protein of unknown function; exhibits variable expression during colony morphogenesis; overexpression permits survival without protein phosphatase 2A, inhibits growth, and induces a filamentous phenotype",927,13,C,UR,1,1.512315325,1.582820523,1.644235125,2.6683E-05
