"ORF","Reactome.term"
"YBL016W","Toll Like Receptor 7/8 (TLR7/8) Cascade"
"YBL016W","Toll Like Receptor TLR6:TLR2 Cascade"
"YBL016W","Innate Immune System"
"YBL016W","Immune System"
"YBL016W","Toll-like Receptor Cascades"
"YBL016W","Prolonged ERK activation events"
"YBL016W","Frs2-mediated activation"
"YBL016W","Toll Like Receptor 2 (TLR2) Cascade"
"YBL016W","Signaling by NTRK1 (TRKA)"
"YBL016W","Signalling to ERKs"
"YBL016W","Nuclear Events (kinase and transcription factor activation)"
"YBL016W","ERK/MAPK targets"
"YBL016W","ERKs are inactivated"
"YBL016W","Cellular responses to stress"
"YBL016W","Senescence-Associated Secretory Phenotype (SASP)"
"YBL016W","Cellular Senescence"
"YBL016W","Regulation of HSF1-mediated heat shock response"
"YBL016W","Cellular response to heat stress"
"YBL016W","Signaling by GPCR"
"YBL016W","L1CAM interactions"
"YBL016W","NCAM signaling for neurite out-growth"
"YBL016W","GPCR downstream signalling"
"YBL016W","G alpha (q) signalling events"
"YBL016W","G alpha (i) signalling events"
"YBL016W","Axon guidance"
"YBL016W","Recycling pathway of L1"
"YBL016W","Signal transduction by L1"
"YBL016W","Interleukin-17 signaling"
"YBL016W","Signaling by Interleukins"
"YBL016W","MAPK targets/ Nuclear events mediated by MAP kinases"
"YBL016W","MAP kinase activation"
"YBL016W","Activation of the AP-1 family of transcription factors"
"YBL016W","RAF/MAP kinase cascade"
"YBL016W","MAP2K and MAPK activation"
"YBL016W","Negative feedback regulation of MAPK pathway"
"YBL016W","Negative regulation of MAPK pathway"
"YBL016W","MAPK family signaling cascades"
"YBL016W","MAPK1/MAPK3 signaling"
"YBL016W","Neutrophil degranulation"
"YBL016W","Gastrin-CREB signalling pathway via PKC and MAPK"
"YBL016W","ESR-mediated signaling"
"YBL016W","Cellular responses to external stimuli"
"YBL016W","Signaling by Nuclear Receptors"
"YBL016W","Signaling by Receptor Tyrosine Kinases"
"YBL016W","Extra-nuclear estrogen signaling"
"YBL016W","TRIF(TICAM1)-mediated TLR4 signaling "
"YBL016W","FLT3 Signaling"
"YBL016W","Estrogen-stimulated signaling through PRKCZ"
"YBL016W","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation"
"YBL016W","MyD88 dependent cascade initiated on endosome"
"YBL016W","MyD88 cascade initiated on plasma membrane"
"YBL017C","Membrane Trafficking"
"YBL017C","trans-Golgi Network Vesicle Budding"
"YBL017C","Golgi Associated Vesicle Biogenesis"
"YBL017C","Vesicle-mediated transport"
"YBL023C","Cell Cycle"
"YBL023C","Mitotic G1-G1/S phases"
"YBL023C","Orc1 removal from chromatin"
"YBL023C","Activation of the pre-replicative complex"
"YBL023C","DNA Replication Pre-Initiation"
"YBL023C","Switching of origins to a post-replicative state"
"YBL023C","G1/S Transition"
"YBL023C","Synthesis of DNA"
"YBL023C","S Phase"
"YBL023C","Cell Cycle, Mitotic"
"YBL023C","DNA Replication"
"YBL026W","Deadenylation-dependent mRNA decay"
"YBL026W","mRNA decay by 5' to 3' exoribonuclease"
"YBL026W","Metabolism of RNA"
"YBL027W","L13a-mediated translational silencing of Ceruloplasmin expression"
"YBL027W","SRP-dependent cotranslational protein targeting to membrane"
"YBL027W","Metabolism of proteins"
"YBL027W","Eukaryotic Translation Initiation"
"YBL027W","Formation of a pool of free 40S subunits"
"YBL027W","GTP hydrolysis and joining of the 60S ribosomal subunit"
"YBL027W","Cap-dependent Translation Initiation"
"YBL027W","Translation"
"YBL027W","Metabolism of RNA"
"YBL027W","Nonsense-Mediated Decay (NMD)"
"YBL027W","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"YBL027W","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"YBL030C","Transport of small molecules"
"YBL030C","Transport of vitamins, nucleosides, and related molecules"
"YBL030C","SLC-mediated transmembrane transport"
"YBL030C","Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"
"YBL035C","Inhibition of replication initiation of damaged DNA by RB1/E2F1"
"YBL035C","E2F mediated regulation of DNA replication"
"YBL035C","Telomere Maintenance"
"YBL035C","Cell Cycle"
"YBL035C","Polymerase switching on the C-strand of the telomere"
"YBL035C","Telomere C-strand (Lagging Strand) Synthesis"
"YBL035C","Telomere C-strand synthesis initiation"
"YBL035C","Extension of Telomeres"
"YBL035C","Mitotic G1-G1/S phases"
"YBL035C","DNA replication initiation"
"YBL035C","Activation of the pre-replicative complex"
"YBL035C","DNA Replication Pre-Initiation"
"YBL035C","Polymerase switching"
"YBL035C","Leading Strand Synthesis"
"YBL035C","Removal of the Flap Intermediate"
"YBL035C","Processive synthesis on the lagging strand"
"YBL035C","Lagging Strand Synthesis"
"YBL035C","DNA strand elongation"
"YBL035C","G1/S Transition"
"YBL035C","Synthesis of DNA"
"YBL035C","S Phase"
"YBL035C","Cell Cycle, Mitotic"
"YBL035C","DNA Replication"
"YBL035C","Chromosome Maintenance"
"YBL037W","Developmental Biology"
"YBL037W","Innate Immune System"
"YBL037W","Immune System"
"YBL037W","Plasma lipoprotein assembly, remodeling, and clearance"
"YBL037W","Membrane Trafficking"
"YBL037W","L1CAM interactions"
"YBL037W","Transport of small molecules"
"YBL037W","Axon guidance"
"YBL037W","Recycling pathway of L1"
"YBL037W","Vesicle-mediated transport"
"YBL037W","Neutrophil degranulation"
"YBL037W","Cargo recognition for clathrin-mediated endocytosis"
"YBL037W","Clathrin-mediated endocytosis"
"YBL037W","VLDLR internalisation and degradation"
"YBL037W","LDL clearance"
"YBL037W","Plasma lipoprotein clearance"
"YBL039C","Metabolism"
"YBL039C","Metabolism of nucleotides"
"YBL039C","Interconversion of nucleotide di- and triphosphates"
"YBL040C","Membrane Trafficking"
"YBL040C","Vesicle-mediated transport"
"YBL040C","COPI-dependent Golgi-to-ER retrograde traffic"
"YBL040C","Intra-Golgi and retrograde Golgi-to-ER traffic"
"YBL040C","Golgi-to-ER retrograde transport"
"YBL041W","Antigen processing-Cross presentation"
"YBL041W","Cross-presentation of soluble exogenous antigens (endosomes)"
"YBL041W","Cytokine Signaling in Immune system"
"YBL041W","Adaptive Immune System"
"YBL041W","Innate Immune System"
"YBL041W","Immune System"
"YBL041W","Metabolism of proteins"
"YBL041W","TNFR2 non-canonical NF-kB pathway"
"YBL041W","Deubiquitination"
"YBL041W","UCH proteinases"
"YBL041W","Ub-specific processing proteases"
"YBL041W","Post-translational protein modification"
"YBL041W","Neutrophil degranulation"
"YBL041W","Class I MHC mediated antigen processing & presentation"
"YBL045C","The citric acid (TCA) cycle and respiratory electron transport"
"YBL045C","Metabolism"
"YBL045C","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."
"YBL045C","Respiratory electron transport"
"YBL047C","Signal Transduction"
"YBL047C","Signaling by Rho GTPases"
"YBL047C","Rho GTPase cycle"
"YBL047C","Membrane Trafficking"
"YBL047C","Signaling by GPCR"
"YBL047C","GPCR downstream signalling"
"YBL047C","G alpha (12/13) signalling events"
"YBL047C","Vesicle-mediated transport"
"YBL047C","Cargo recognition for clathrin-mediated endocytosis"
"YBL047C","Clathrin-mediated endocytosis"
"YBL049W","Innate Immune System"
"YBL049W","Immune System"
"YBL049W","Neutrophil degranulation"
"YBL050W","ER to Golgi Anterograde Transport"
"YBL050W","Membrane Trafficking"
"YBL050W","COPII-mediated vesicle transport"
"YBL050W","Metabolism of proteins"
"YBL050W","Asparagine N-linked glycosylation"
"YBL050W","Vesicle-mediated transport"
"YBL050W","Post-translational protein modification"
"YBL050W","COPI-mediated anterograde transport"
"YBL050W","COPI-dependent Golgi-to-ER retrograde traffic"
"YBL050W","Intra-Golgi traffic"
"YBL050W","Retrograde transport at the Trans-Golgi-Network"
"YBL050W","Intra-Golgi and retrograde Golgi-to-ER traffic"
"YBL050W","Golgi-to-ER retrograde transport"
"YBL050W","Transport to the Golgi and subsequent modification"
"YBL060W","Membrane Trafficking"
"YBL060W","Vesicle-mediated transport"
"YBL060W","Intra-Golgi traffic"
"YBL060W","Intra-Golgi and retrograde Golgi-to-ER traffic"
"YBL064C","Innate Immune System"
"YBL064C","Immune System"
"YBL064C","Neutrophil degranulation"
"YBL067C","Recognition of DNA damage by PCNA-containing replication complex"
"YBL067C","DNA Damage Bypass"
"YBL067C","DNA Repair"
"YBL068W","Metabolism"
"YBL068W","Pentose phosphate pathway"
"YBL068W","Metabolism of carbohydrates"
"YBL068W","5-Phosphoribose 1-diphosphate biosynthesis"
"YBL071W-A","Gamma carboxylation, hypusine formation and arylsulfatase activation"
"YBL071W-A","Metabolism of proteins"
"YBL071W-A","Synthesis of diphthamide-EEF2"
"YBL071W-A","Post-translational protein modification"
"YBL072C","L13a-mediated translational silencing of Ceruloplasmin expression"
"YBL072C","SRP-dependent cotranslational protein targeting to membrane"
"YBL072C","Metabolism of proteins"
"YBL072C","Eukaryotic Translation Initiation"
"YBL072C","Formation of a pool of free 40S subunits"
"YBL072C","Formation of the ternary complex, and subsequently, the 43S complex"
"YBL072C","Ribosomal scanning and start codon recognition"
"YBL072C","GTP hydrolysis and joining of the 60S ribosomal subunit"
"YBL072C","Cap-dependent Translation Initiation"
"YBL072C","Translation"
"YBL072C","Metabolism of RNA"
"YBL072C","Nonsense-Mediated Decay (NMD)"
"YBL072C","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"YBL072C","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"YBL075C","Innate Immune System"
"YBL075C","Immune System"
"YBL075C","Membrane Trafficking"
"YBL075C","Cellular responses to stress"
"YBL075C","Regulation of HSF1-mediated heat shock response"
"YBL075C","HSP90 chaperone cycle for steroid hormone receptors (SHR)"
"YBL075C","Cellular response to heat stress"
"YBL075C","Attenuation phase"
"YBL075C","HSF1-dependent transactivation"
"YBL075C","Vesicle-mediated transport"
"YBL075C","Neutrophil degranulation"
"YBL075C","Clathrin-mediated endocytosis"
"YBL075C","Cellular responses to external stimuli"
"YBL078C","Macroautophagy"
"YBL078C","Membrane Trafficking"
"YBL078C","Mitophagy"
"YBL078C","Vesicle-mediated transport"
"YBL078C","TBC/RABGAPs"
"YBL078C","Receptor Mediated Mitophagy"
"YBL078C","Rab regulation of trafficking"
"YBL078C","Autophagy"
"YBL082C","Metabolism of proteins"
"YBL082C","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"
"YBL082C","Asparagine N-linked glycosylation"
"YBL082C","Post-translational protein modification"
"YBL084C","Adaptive Immune System"
"YBL084C","Cell Cycle"
"YBL084C","Immune System"
"YBL084C","APC/C-mediated degradation of cell cycle proteins"
"YBL084C","APC/C:Cdc20 mediated degradation of mitotic proteins"
"YBL084C","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"
"YBL084C","APC-Cdc20 mediated degradation of Nek2A"
"YBL084C","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"
"YBL084C","Regulation of mitotic cell cycle"
"YBL084C","Cell Cycle, Mitotic"
"YBL084C","Antigen processing: Ubiquitination & Proteasome degradation"
"YBL084C","Class I MHC mediated antigen processing & presentation"
"YBL087C","L13a-mediated translational silencing of Ceruloplasmin expression"
"YBL087C","SRP-dependent cotranslational protein targeting to membrane"
"YBL087C","Metabolism of proteins"
"YBL087C","Eukaryotic Translation Initiation"
"YBL087C","Formation of a pool of free 40S subunits"
"YBL087C","GTP hydrolysis and joining of the 60S ribosomal subunit"
"YBL087C","Cap-dependent Translation Initiation"
"YBL087C","Translation"
"YBL087C","Metabolism of RNA"
"YBL087C","Nonsense-Mediated Decay (NMD)"
"YBL087C","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"YBL087C","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"YBL088C","Cellular responses to stress"
"YBL088C","Cellular Senescence"
"YBL088C","DNA Damage/Telomere Stress Induced Senescence"
"YBL088C","DNA Double-Strand Break Repair"
"YBL088C","Sensing of DNA Double Strand Breaks"
"YBL088C","Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks"
"YBL088C","DNA Double Strand Break Response"
"YBL088C","DNA Repair"
"YBL088C","Cellular responses to external stimuli"
"YBL089W","Neurotransmitter release cycle"
"YBL089W","Neurotransmitter uptake and metabolism In glial cells"
"YBL089W","Transmission across Chemical Synapses"
"YBL089W","Neuronal System"
"YBL089W","Astrocytic Glutamate-Glutamine Uptake And Metabolism"
"YBL089W","Glutamate Neurotransmitter Release Cycle"
"YBL089W","Amino acid transport across the plasma membrane"
"YBL089W","Transport of small molecules"
"YBL089W","Transport of inorganic cations/anions and amino acids/oligopeptides"
"YBL089W","SLC-mediated transmembrane transport"
"YBL091C","Signal Transduction"
"YBL091C","Visual phototransduction"
"YBL091C","The phototransduction cascade"
"YBL091C","Inactivation, recovery and regulation of the phototransduction cascade"
"YBL091C","Signaling by GPCR"
"YBL091C","GPCR downstream signalling"
"YBL091C","G alpha (i) signalling events"
"YBL091C-A","Innate Immune System"
"YBL091C-A","Immune System"
"YBL091C-A","Neutrophil degranulation"
"YBL091C-A","Protein localization"
"YBL091C-A","Insertion of tail-anchored proteins into the endoplasmic reticulum membrane"
"YBL092W","L13a-mediated translational silencing of Ceruloplasmin expression"
"YBL092W","SRP-dependent cotranslational protein targeting to membrane"
"YBL092W","Metabolism of proteins"
"YBL092W","Eukaryotic Translation Initiation"
"YBL092W","Formation of a pool of free 40S subunits"
"YBL092W","GTP hydrolysis and joining of the 60S ribosomal subunit"
"YBL092W","Cap-dependent Translation Initiation"
"YBL092W","Translation"
"YBL092W","Metabolism of RNA"
"YBL092W","Nonsense-Mediated Decay (NMD)"
"YBL092W","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"YBL092W","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"YBL097W","Cell Cycle"
"YBL097W","Condensation of Prometaphase Chromosomes"
"YBL097W","Mitotic Prometaphase"
"YBL097W","M Phase"
"YBL097W","Cell Cycle, Mitotic"
"YBL098W","Metabolism"
"YBL098W","Tryptophan catabolism"
"YBL098W","Metabolism of amino acids and derivatives"
"YBL103C","SUMOylation"
"YBL103C","SUMO E3 ligases SUMOylate target proteins"
"YBL103C","SUMOylation of transcription factors"
"YBL103C","Metabolism of proteins"
"YBL103C","Post-translational protein modification"
"YBL105C","Hemostasis"
"YBL105C","Effects of PIP2 hydrolysis"
"YBL105C","Disinhibition of SNARE formation"
"YBL105C","Downstream signaling events of B Cell Receptor (BCR)"
"YBL105C","Activation of NF-kappaB in B cells"
"YBL105C","Adaptive Immune System"
"YBL105C","Metabolism"
"YBL105C","DAG and IP3 signaling"
"YBL105C","Signal Transduction"
"YBL105C","Integration of energy metabolism"
"YBL105C","Cell Cycle"
"YBL105C","Innate Immune System"
"YBL105C","Immune System"
"YBL105C","Signaling by VEGF"
"YBL105C","Signaling by Rho GTPases"
"YBL105C","RHO GTPase Effectors"
"YBL105C","TCR signaling"
"YBL105C","Downstream TCR signaling"
"YBL105C","Fcgamma receptor (FCGR) dependent phagocytosis"
"YBL105C","Role of phospholipids in phagocytosis"
"YBL105C","EGFR Transactivation by Gastrin"
"YBL105C","Fc epsilon receptor (FCERI) signaling"
"YBL105C","FCERI mediated NF-kB activation"
"YBL105C","Nuclear Envelope Breakdown"
"YBL105C","Signaling by GPCR"
"YBL105C","GPCR downstream signalling"
"YBL105C","Acetylcholine regulates insulin secretion"
"YBL105C","G alpha (q) signalling events"
"YBL105C","Regulation of insulin secretion"
"YBL105C","Depolymerisation of the Nuclear Lamina"
"YBL105C","VEGFA-VEGFR2 Pathway"
"YBL105C","VEGFR2 mediated cell proliferation"
